"OBJECTID_1,N,10,0","ObjectID,N,10,0","NAME,C,32","STATE_NAME,C,35","STATE_FIPS","CNTY_FIPS","FIPS,C,5","POP2010,N,10,0","POP10_SQMI,N,19,11","POP2012,N,10,0","POP12_SQMI,N,19,11","WHITE,N,10,0","BLACK,N,10,0","AMERI_ES,N,10,0","ASIAN,N,10,0","HAWN_PI,N,10,0","HISPANIC,N,10,0","OTHER,N,10,0","MULT_RACE,N,10,0","MALES,N,10,0","FEMALES,N,10,0","AGE_UNDER5,N,10,0","AGE_5_9,N,10,0","AGE_10_14,N,10,0","AGE_15_19,N,10,0","AGE_20_24,N,10,0","AGE_25_34,N,10,0","AGE_35_44,N,10,0","AGE_45_54,N,10,0","AGE_55_64,N,10,0","AGE_65_74,N,10,0","AGE_75_84,N,10,0","AGE_85_UP,N,10,0","MED_AGE,N,19,11","MED_AGE_M,N,19,11","MED_AGE_F,N,19,11","HOUSEHOLDS,N,10,0","AVE_HH_SZ,N,19,11","HSEHLD_1_M,N,10,0","HSEHLD_1_F,N,10,0","MARHH_CHD,N,10,0","MARHH_NO_C,N,10,0","MHH_CHILD,N,10,0","FHH_CHILD,N,10,0","FAMILIES,N,10,0","AVE_FAM_SZ,N,19,11","HSE_UNITS,N,10,0","VACANT,N,10,0","OWNER_OCC,N,10,0","RENTER_OCC,N,10,0","NO_FARMS07,N,19,11","AVG_SIZE07,N,19,11","CROP_ACR07,N,19,11","AVG_SALE07,N,19,11","SQMI,N,19,11","Shape_Leng,N,19,11","Shape_Area,N,19,11"
1,586,Dutchess,New York,36,027,36027,297488,360.50000000000,297684,360.70229858600,238387,29518,893,10437,108,31267,10345,7800,148112,149376,15239,17650,19696,24398,21556,31656,39717,50150,37122,21435,13298,5571,40.20000000000,39.10000000000,41.20000000000,107965,2.57000000000,12459,15636,25389,30661,2646,7232,72895,3.12000000000,118638,10673,75068,32897,656.00000000000,156.00000000000,46938.00000000000,68.39000000000,825.29000000000,2.19620244733,0.23209811180
2,641,New London,Connecticut,09,011,09011,274055,401.60000000000,273985,401.45498769200,225213,16025,2505,11383,180,23214,8722,10027,136803,137252,15013,16156,17187,18682,19396,32640,36223,44762,35001,20365,12789,5841,40.40000000000,38.50000000000,41.90000000000,107057,2.44000000000,13616,15978,21872,30301,2798,8308,69862,2.98000000000,120994,13937,72518,34539,793.00000000000,80.00000000000,25110.00000000000,138.80000000000,682.48000000000,2.21721450672,0.19726625222
3,646,Fairfield,Connecticut,09,001,09001,916829,1420.80000000000,922084,1428.96727002000,685900,99317,2384,42284,442,155025,62474,24028,445601,471228,56899,62907,66606,62192,50516,106063,131246,149286,107039,62341,41272,20462,39.40000000000,37.80000000000,40.80000000000,335545,2.68000000000,33783,49710,89394,88634,6564,25249,232896,3.21000000000,361221,25676,230167,105378,310.00000000000,128.00000000000,6646.00000000000,120.27000000000,645.28000000000,2.26732643168,0.18417910525
4,650,Middlesex,Connecticut,09,007,09007,165676,433.70000000000,166774,436.60401068100,147823,7727,253,4247,58,7834,2154,3414,80908,84768,8208,9661,10507,10703,8845,17214,22868,28525,23524,13396,8113,4112,43.00000000000,41.80000000000,44.10000000000,67202,2.39000000000,8006,10912,14404,20487,1304,3834,43743,2.95000000000,74837,7635,49976,17226,393.00000000000,42.00000000000,7406.00000000000,141.87000000000,381.98000000000,1.57492665667,0.10589612037
5,651,New Haven,Connecticut,09,009,09009,862477,1392.90000000000,862521,1392.96027132000,644744,109850,2497,30263,334,129743,51981,22808,415090,447387,48663,51759,56357,62248,59639,107891,114007,132623,105318,60734,41125,22113,39.20000000000,37.60000000000,40.60000000000,334502,2.49000000000,40674,55844,66383,85684,7542,30979,215749,3.09000000000,362004,27502,212169,122333,573.00000000000,80.00000000000,13778.00000000000,157.37000000000,619.20000000000,2.40849286672,0.17390286747
6,654,Orange,New York,36,071,36071,372813,444.90000000000,374604,447.03748344200,287802,37946,1748,8895,125,67185,24615,11682,186289,186524,26488,27965,29030,29466,24724,41671,52325,58112,42047,22454,12943,5588,36.50000000000,34.80000000000,38.00000000000,125925,2.86000000000,12145,15623,36102,33408,3688,9902,91457,3.37000000000,137025,11100,86756,39169,642.00000000000,126.00000000000,46268.00000000000,114.87000000000,837.97000000000,2.19803999637,0.24025381129
7,662,Pike,Pennsylvania,42,103,42103,57369,101.30000000000,57494,101.50597623600,50856,3322,176,597,16,5173,1193,1209,28686,28683,2823,3489,4185,4339,2609,4895,7599,10086,8041,5642,2840,821,43.50000000000,42.90000000000,44.10000000000,21925,2.59000000000,2462,2457,5217,7575,586,1333,15888,3.05000000000,38350,16425,18811,3114,54.00000000000,511.00000000000,2908.00000000000,46.74000000000,566.41000000000,2.00047329870,0.16290470458
8,671,Putnam,New York,36,079,36079,99710,405.30000000000,100293,407.64540909600,90470,2350,175,1882,35,11661,2833,1965,49789,49921,5108,6441,7406,6887,5095,9495,14652,18771,13438,7238,3697,1482,41.80000000000,40.80000000000,42.90000000000,35041,2.77000000000,3154,3961,10532,11118,688,1714,26260,3.22000000000,38224,3183,28688,6353,72.00000000000,78.00000000000,1286.00000000000,-99.00000000000,246.03000000000,1.19580695608,0.06952047409
9,715,Westchester,New York,36,119,36119,949113,2111.60000000000,949931,2113.39992881000,646471,138118,3965,51716,387,207032,78503,29953,456661,492452,57199,63212,65680,65316,53580,108013,132984,149032,114975,68766,47629,22727,40.00000000000,38.10000000000,41.50000000000,347232,2.65000000000,36259,58355,88743,88334,7007,25829,236419,3.23000000000,370821,23589,213888,133344,106.00000000000,80.00000000000,2512.00000000000,103.75000000000,449.48000000000,1.76066753584,0.13258222439
10,716,Sussex,New Jersey,34,037,34037,149265,278.60000000000,150304,280.49117306800,139504,2677,234,2642,36,9617,1783,2389,74070,75195,7963,9587,10984,11035,7493,14178,21480,27845,20850,10550,5064,2236,41.70000000000,41.00000000000,42.30000000000,54752,2.69000000000,5438,6044,15419,17998,1142,2874,40649,3.14000000000,62057,7305,46156,8596,1060.00000000000,62.00000000000,32949.00000000000,20.04000000000,535.86000000000,1.60423992389,0.14728275244
